,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,type_wine,Variety
114,United States,Walla Walla Valley,L'Ecole No 41,4.1,103,47,2013,red,blend
115,Spain,Navarra,Bodegas Piedemonte,3.4,103,6,2018,red,blend
116,France,Corbières,Château Camplong,4.0,103,6,2018,red,blend
117,Italy,Toscana,Poggio Antico,4.1,103,30,2015,red,blend
118,Australia,South Australia,Farm Hand,3.7,103,8,2018,red,blend
119,France,Pomerol,Château Nénin,4.1,103,240,1999,red,blend
120,Germany,Baden,Bernhard Huber,4.1,103,39,2016,red,blend
121,South Africa,Franschhoek,Anthonij Rupert,4.2,103,60,2012,red,Cabernet Franc
122,France,Saint-Émilion Grand Cru,Château Valandraud,4.4,103,193,2002,red,blend
123,Argentina,Mendoza,Viña Cobos,4.6,103,75,2017,red,Malbec
124,Other Countries,Other Region,Other Winery,3.2,103,16,2008,red,Merlot
125,Italy,Brunello di Montalcino,Ciacci Piccolomini d'Aragona,4.4,103,66,2015,red,Brunello
126,France,Saint-Joseph,Delas,3.9,103,29,2016,red,blend
127,France,Minervois,L'Ostal Cazes,3.6,103,11,2018,red,blend
128,Chile,Maule Valley,Erasmo,3.5,103,13,2017,red,Barbera
129,France,Côtes Catalanes,Domaine Les Enfants Sauvages,3.9,103,19,2014,red,blend
130,United States,Stags Leap District,Shafer,4.5,1030,120,2016,red,Cabernet Sauvignon
131,Italy,Barbaresco,Gaja,4.4,1030,200,2013,red,blend
132,France,Saint-Julien,Château Branaire-Ducru,3.9,1030,60,2006,red,blend
133,France,Médoc,Château Potensac,3.8,1033,40,2012,red,blend
134,Italy,Brunello di Montalcino,Gaja,4.3,1035,60,2014,red,Brunello
135,Italy,Primitivo di Manduria,Maestro Italiano,4.1,1036,10,2017,red,Primitivo
136,France,Saint-Julien,Château Léoville Barton,4.2,1037,87,2011,red,blend
137,United States,California,Apothic,3.8,1037,15,2017,red,blend
138,France,Pessac-Léognan,Château Pape Clément,4.3,1037,161,2007,red,blend
139,South Africa,Stellenbosch,Mulderbosch,4.0,1038,15,2015,red,blend
140,Italy,Amarone della Valpolicella,Masi,4.3,1039,69,2012,red,blend
141,Italy,Rosso di Montalcino,Talenti,3.7,104,14,2018,red,blend
142,Italy,Chianti,Sammontana,3.7,104,9,2017,red,blend
143,Spain,Ribera del Queiles,Guelbenzu,3.8,104,7,2015,red,blend
