,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,type_wine,Variety
7132,Australia,South Australia,Rosemount,3.4,669,9,2017,red,Shiraz
7133,France,Nuits-Saint-Georges,Maison Roche de Bellene,4.0,67,43,2012,red,blend
7134,France,Cahors,Jean-Luc Baldès,3.8,67,25,2016,red,Malbec
7135,Spain,Rioja,Marques de Mundaiz,3.7,67,8,2015,red,blend
7136,Other Countries,Other Region,Other Winery,3.9,67,26,2017,red,Pinot Noir
7137,Austria,Niederösterreich,Schloss Gobelsburg,3.6,67,13,2015,red,blend
7138,Portugal,Lisboa,Herdade do Rocim,3.9,67,11,2016,red,blend
7139,France,Pays d'Oc,Les Jamelles,3.8,67,13,2017,red,Grenache
7140,Italy,Toscana,Ricasoli,3.2,67,8,2017,red,blend
7141,France,Costières-de-Nîmes,Château Mourgues du Grès,3.9,67,17,2015,red,blend
7142,Argentina,Mendoza,Trapiche,3.8,67,8,2018,red,Syrah
7143,Italy,delle Venezie,Collavini,4.0,67,13,2015,red,blend
7144,France,Buzet,Lionel Osmin & Cie,3.4,67,9,2015,red,Cabernet Sauvignon
7145,Spain,Navarra,Artadi,3.9,67,29,2015,red,blend
7146,Italy,Primitivo di Manduria,San Marzano,3.9,67,7,2018,red,Primitivo
7147,Italy,Brunello di Montalcino,Poggio Antico,4.4,67,100,2012,red,Brunello
7148,Italy,Brunello di Montalcino,Fattoria dei Barbi,4.1,67,55,2011,red,Brunello
7149,France,Saint-Estèphe,Château Calon-Ségur,3.6,67,29,2014,red,blend
7150,France,Pomerol,Château Prieurs de la Commanderie,4.2,67,34,2012,red,blend
7151,Italy,Colli di Luni,Lvnae,3.5,67,16,2015,red,blend
7152,France,Côtes de Gascogne,Horgelus,3.8,67,6,2018,red,Merlot
7153,Spain,Castilla y León,Telmo Rodriguez,3.9,67,28,2013,red,blend
7154,Spain,Rioja Alta,Tarón,3.3,67,6,2018,red,Tempranillo
7155,Italy,Bolgheri,Gaja,4.2,67,120,2016,red,blend
7156,Chile,Central Valley,Carmen,3.6,67,7,2017,red,Syrah
7157,Chile,Colchagua Valley,Polkura,3.3,67,14,2016,red,blend
7158,Other Countries,Other Region,Other Winery,4.0,67,14,2017,red,blend
7159,Italy,Colli Orientali del Friuli,Conte d'Attimis Maniago,3.9,67,23,2010,red,blend
7160,Italy,Dolcetto d'Alba,Giacomo Fenocchio,3.5,67,10,2013,red,Dolcetto
7161,France,Bordeaux,Château Tour de Mirambeau,3.6,67,10,2016,red,blend
7162,Italy,Terre Siciliane,Antonini Ceresa,3.5,67,6,2017,red,Nero d'Avola
7163,Germany,Mosel,Markus Molitor,3.9,67,30,2013,red,Pinot Noir
7164,Germany,Ahr,Meyer - Näkel,3.6,67,14,2018,red,blend
7165,France,Saint-Émilion Grand Cru,Château La Fleur de Jaugue,4.1,67,19,2012,red,blend
7166,South Africa,Stellenbosch,Rustenberg,4.2,67,18,2017,red,Syrah
7167,Italy,Teroldego Rotaliano,Mezzacorona,3.6,67,8,2018,red,Teroldego
7168,South Africa,Stellenbosch,Neil Ellis,4.3,67,75,2012,red,blend
7169,South Africa,Stellenbosch,Simonsig,3.1,67,10,2017,red,blend
7170,Italy,Primitivo di Manduria,Masseria Borgo dei Trulli,4.1,67,12,2018,red,Primitivo
7171,Germany,Baden,Heger,3.7,67,15,2014,red,blend
7172,Italy,Toscana,Poggio Al Tesoro,3.8,67,13,2018,red,blend
7173,France,Pomerol,Château Le Bon Pasteur,3.9,67,90,2015,red,blend
7174,Italy,Barbera d'Asti,Prunotto,3.7,670,11,2018,red,Barbera
7175,France,Vinsobres,Famille Perrin,3.7,670,12,2015,red,blend
7176,Argentina,Mendoza,Alamos,3.7,671,7,2019,red,Malbec
7177,France,Languedoc-Roussillon,Fortant,3.8,671,9,2017,red,Syrah
7178,Portugal,Alentejano,Monte do Pintor,3.9,671,16,2014,red,blend
7179,Spain,Campo de Borja,Borsao,3.9,671,12,2015,red,blend
7180,Italy,Toscana,Antinori,4.6,6711,109,2016,red,blend
7181,Australia,Eden Valley,Henschke,4.3,672,60,2014,red,blend
7182,Italy,delle Venezie,Livio Felluga,3.7,672,14,2017,red,blend
7183,Spain,Ribera del Duero,Arzuaga,4.1,673,21,2017,red,blend
7184,Portugal,Alentejano,Cortes de Cima,4.5,674,67,2014,red,blend
7185,France,Saint-Georges-Saint-Émilion,Château Cap d’Or,3.7,675,24,2014,red,blend
7186,France,Saint-Estèphe,Cos d'Estournel,4.6,675,390,2009,red,blend
7187,France,Castillon - Côtes de Bordeaux,Château d'Aiguilhe,3.8,676,29,2011,red,blend
7188,Spain,Rioja,Ramón Bilbao,3.8,676,14,2015,red,blend
7189,Italy,Vino Nobile di Montepulciano,Poliziano,4.3,676,41,2015,red,Montepulciano
7190,Italy,Cannonau di Sardegna,Argiolas,3.8,676,8,2017,red,blend
7191,Italy,Bolgheri,Antinori,4.3,677,38,2016,red,blend
7192,Spain,Somontano,Viñas del Vero,3.3,677,6,2016,red,Cabernet Sauvignon
7193,France,Pauillac,Château Duhart-Milon,4.2,678,119,2006,red,blend
7194,Spain,Rioja,Bodegas Roda,3.9,678,17,2016,red,blend
7195,France,Saint-Estèphe,Château Lafon-Rochet,3.8,678,55,2011,red,blend
7196,Italy,Puglia,Conte di Campiano,4.0,6780,7,2015,red,blend
7197,South Africa,Stellenbosch,Kanonkop,4.1,679,29,2017,red,Pinotage
7198,Italy,Rosso Veronese,Zenato,3.8,679,9,2015,red,blend
7199,France,Margaux,Château Giscours,4.1,679,35,2015,red,blend
7200,Chile,Rapel Valley,Emiliana,3.6,679,8,2017,red,Merlot
7201,Italy,Campania,Rocca del Dragone,4.2,68,9,2016,red,Aglianico
7202,Spain,Uclés,Mesta,3.4,68,6,2019,red,Tempranillo
7203,Italy,Brunello di Montalcino,San Filippo,4.1,68,44,2012,red,Brunello
7204,South Africa,Stellenbosch,Waterford Estate,3.5,68,12,2017,red,blend
7205,France,La Clape,Château la Négly,4.3,68,58,2014,red,blend
7206,France,Gigondas,Château de Saint Cosme,4.3,68,46,2011,red,blend
7207,Italy,Cannonau di Sardegna,Sella & Mosca,3.8,68,14,2016,red,blend
7208,France,Pomerol,Château Certan Marzelle,3.9,68,49,2007,red,blend
7209,Italy,Toscana,Poggio Bonelli,3.9,68,22,2010,red,blend
7210,Italy,Amarone della Valpolicella Classico,Stefano Accordini,4.6,68,96,2012,red,blend
7211,France,Saint-Émilion Grand Cru,Château Valandraud,4.2,68,171,2017,red,blend
7212,Italy,Barolo,Mauro Veglio,4.1,68,28,2016,red,blend
7213,Italy,Puglia,Tormaresca,3.6,68,8,2017,red,Cabernet Sauvignon
7214,Spain,Valencia,Vegalfaro,3.9,68,19,2016,red,blend
7215,Italy,Friuli Aquileia,Zonin,3.0,68,7,2018,red,Merlot
7216,Italy,Aglianico del Vulture,Terre degli Svevi,4.1,68,12,2016,red,Aglianico
7217,Australia,Heathcote,Tyrrell's,3.8,68,19,2018,red,Shiraz
7218,Italy,Langhe,Elio Altare,4.1,68,61,2008,red,blend
7219,France,Vin de Pays,Domaine de la Janasse,3.9,68,11,2017,red,blend
7220,France,Fleurie,Terres Dorées,3.8,68,23,2017,red,blend
7221,France,Luberon,Marrenon,3.5,68,7,2017,red,blend
7222,France,Côtes-du-Rhône,Domaine de Beaurenard,3.9,68,13,2018,red,blend
7223,Germany,Pfalz,Philipp Kuhn,3.9,68,41,2014,red,Pinot Noir
7224,Italy,Brunello di Montalcino,Salvioni,4.5,68,145,2015,red,Brunello
7225,France,Saint-Julien,Château Branaire-Ducru,3.8,68,84,2017,red,blend
7226,Italy,Rosso di Montepulciano,Salcheto,3.4,68,14,2017,red,blend
7227,Italy,Barbera d'Alba,Enzo Boglietti,4.0,68,27,2016,red,Barbera
7228,France,Bordeaux,Château La Freynelle,3.3,68,7,2017,red,Cabernet Sauvignon
7229,France,Hermitage,Paul Jaboulet Aîné,3.9,68,192,2014,red,blend
7230,South Africa,Stellenbosch,Stellenrust,3.6,68,18,2015,red,blend
7231,France,Corbières,Calmel & Joseph,3.6,68,8,2017,red,blend
7232,Spain,Priorat,Mas Doix,4.3,68,78,2015,red,blend
7233,Italy,Chianti Classico,Cinciole,4.0,68,38,2012,red,blend
7234,Italy,Barbaresco,Rivetti Massimo,4.1,68,23,2016,red,blend
7235,France,Montagne-Saint-Émilion,Château Plaisance,3.7,68,10,2011,red,blend
7236,France,Saint-Émilion Grand Cru,La Mondotte,4.2,68,165,2012,red,blend
7237,France,Vosne-Romanée,Domaine Bruno Clair,4.3,68,96,2014,red,blend
7238,France,Côtes-du-Rhône,Pierre Amadieu,3.7,68,11,2016,red,blend
7239,France,Bordeaux,Château La Coudraie,3.5,68,8,2016,red,blend
7240,Chile,Colchagua Valley,Apaltagua,4.0,68,54,2015,red,blend
7241,Spain,Tierra de León,Lar de Maía,3.8,68,13,2016,red,blend
7242,France,Bandol,Lafran-Veyrolles,4.0,68,22,2012,red,blend
7243,Italy,Puglia,Ponte Lungo,3.9,68,9,2018,red,blend
7244,Italy,Brunello di Montalcino,Tenute Silvio Nardi,4.2,68,78,2010,red,Brunello
7245,United States,Napa Valley,Orin Swift,4.4,680,54,2017,red,Cabernet Sauvignon
7246,Spain,Catalunya,Torres,4.0,6802,7,2018,red,blend
7247,Italy,Puglia,Vigneti del Salento,3.9,681,5,2018,red,Negroamaro
7248,Italy,Chianti Classico,Banfi,3.7,682,12,2017,red,blend
7249,United States,Sta. Rita Hills,Domaine de la Côte,4.2,682,44,2014,red,Pinot Noir
7250,Italy,Toscana,Tolaini,4.0,682,19,2015,red,blend
7251,Portugal,Douro,Ramos Pinto,4.2,682,30,2015,red,blend
7252,Portugal,Dão,Niepoort,3.6,682,11,2016,red,blend
7253,France,Saint-Émilion Grand Cru,Château Fleur Cardinale,4.3,682,49,2015,red,blend
7254,Italy,Brunello di Montalcino,Frescobaldi,4.1,683,37,2014,red,Brunello
7255,France,Margaux,Château Lascombes,3.9,683,64,2008,red,blend
7256,Chile,Curico Valley,Miguel Torres,4.2,684,44,2013,red,Cabernet Sauvignon
7257,France,Languedoc,Val d'Orbieu,3.5,684,7,2017,red,blend
7258,France,Saint-Drézéry,Château Puech-Haut,4.1,684,17,2017,red,blend
7259,United States,Sonoma Valley,Kunde,3.8,685,22,2014,red,Cabernet Sauvignon
7260,France,Pays d'Oc,Cadet d'Oc,3.2,685,7,2015,red,Cabernet Sauvignon
7261,Australia,McLaren Vale,Mitolo,3.9,685,20,2016,red,Shiraz
7262,United States,California,Gallo Family Vineyards,3.7,685,6,2018,red,Merlot
7263,Argentina,Tupungato,Domaine Bousquet,3.7,688,7,2019,red,Malbec
7264,Chile,Central Valley,Cono Sur,3.6,688,6,2018,red,Merlot
7265,Spain,Rioja,Cune (CVNE),3.5,6880,6,2014,red,blend
7266,Italy,Toscana,Brancaia,4.3,689,46,2014,red,blend
7267,Chile,San Antonio Valley,Apaltagua,3.5,689,10,2018,red,Pinot Noir
7268,Spain,Rioja,Altos de Rioja,3.8,69,14,2014,red,blend
7269,Italy,Toscana,Rocca di Montegrossi,4.0,69,25,2011,red,blend
7270,France,Bordeaux Supérieur,Château Barit,3.6,69,7,2016,red,blend
7271,Portugal,Península de Setúbal,Casa Ermelinda Freitas,3.8,69,6,2018,red,blend
7272,France,Ventoux,Vindemio,3.7,69,12,2016,red,blend
7273,France,Collines Rhodaniennes,Les Vins de Vienne - Cuilleron-Gaillard-Villard,4.2,69,43,2017,red,blend
7274,Italy,Brunello di Montalcino,Talenti,4.2,69,35,2015,red,Brunello
7275,Germany,Pfalz,Krebs,3.4,69,11,2016,red,blend
7276,France,Pomerol,Château l'Ecuyer,4.1,69,36,2016,red,blend
7277,France,Châteauneuf-du-Pape,Tardieu-Laurent,3.8,69,47,2016,red,blend
7278,Italy,Chianti,Col d'Orcia,3.5,69,10,2017,red,Gin
7279,France,Saint-Émilion Grand Cru,Clos Trimoulet,4.1,69,21,2015,red,blend
7280,Italy,Valpolicella,Tedeschi,4.1,69,18,2016,red,blend
7281,Spain,Priorat,Costers del Priorat,3.9,69,37,2014,red,blend
7282,France,Saint-Émilion Grand Cru,Château l'Arrosee,4.1,69,52,1999,red,blend
7283,Italy,Südtirol - Alto Adige,Franz Haas,4.1,69,30,2016,red,blend
7284,Australia,Murray Darling,Deakin Estate,3.2,69,6,2017,red,Cabernet Sauvignon
7285,France,Hermitage,M. Chapoutier,4.4,69,105,2004,red,blend
7286,Italy,Toscana,Isole e Olena,4.4,69,68,2011,red,Cabernet Sauvignon
7287,Italy,Nardò,Schola Sarmenti,4.4,69,15,2016,red,Malvasia
7288,Italy,Barbera d'Alba,Gianfranco Alessandria,4.3,69,24,2016,red,Barbera
7289,Italy,Montepulciano d'Abruzzo,Masseria Coste di Brenta,3.9,69,7,2016,red,Montepulciano
7290,France,Ventoux,Vindemio,3.6,69,10,2015,red,blend
7291,Argentina,Uco Valley,Salentein,4.2,69,13,2018,red,Merlot
7292,Italy,Toscana,Petra,4.0,69,34,2016,red,blend
7293,France,Gard,Roc d'Anglade,3.9,69,38,2016,red,blend
7294,Other Countries,Other Region,Other Winery,3.4,69,27,2016,red,Merlot
7295,Spain,Ribera del Duero,O. Fournier,3.9,69,24,2007,red,blend
7296,France,Languedoc,Mas des Mas,3.8,69,19,2017,red,blend
7297,Italy,Chianti Colli Senesi,Palagetto,3.4,69,9,2018,red,blend
7298,Austria,Burgenland,Ernst Triebaumer,3.8,69,38,2013,red,Blaufränkisch
7299,France,Saint-Émilion Grand Cru,Château Laforge,3.7,69,46,2001,red,blend
7300,Italy,Barbera d'Asti,Vincenzo Bossotti,3.9,69,10,2016,red,Barbera
7301,Spain,Rioja,Franco-Espanolas,3.8,690,14,2009,red,blend
7302,New Zealand,Hawke's Bay,Sileni Estates,3.3,690,12,2018,red,Pinot Noir
7303,France,Saint-Émilion,Jean-Pierre Moueix,3.7,691,16,2015,red,blend
7304,Spain,Ribera del Duero,Tinto Pesquera,4.2,691,30,2015,red,blend
7305,Spain,Ribera del Duero,Áster,3.8,692,20,2013,red,blend
7306,Italy,Barbaresco,Gaja,4.4,694,195,2014,red,blend
7307,France,Bourgogne,Chanson,3.6,694,18,2015,red,Pinot Noir
7308,Italy,Valtellina Superiore,Nino Negri,3.8,694,13,2016,red,blend
7309,Argentina,Mendoza,Trapiche,3.6,695,5,2019,red,Cabernet Sauvignon
7310,Portugal,Dão,Niepoort,3.4,695,23,2013,red,blend
7311,South Africa,Stellenbosch,Alto Estate,3.7,696,10,2016,red,blend
7312,Spain,Ribera del Duero,Portia,3.5,696,11,2018,red,blend
7313,France,Saint-Julien,Château Ducru-Beaucaillou,4.7,699,339,2009,red,blend
7314,Italy,Vigneti delle Dolomiti,Pranzegg,3.9,70,25,2013,red,blend
7315,Spain,Priorat,Casa Gran del Siurana,4.2,70,57,2011,red,blend
7316,France,Corbières,Famille Lignères - Château La Baronne,4.0,70,15,2017,red,blend
7317,Italy,Barbera d'Alba,Fratelli Revello,3.9,70,15,2018,red,Barbera
7318,Italy,Terre Siciliane,Andrero,3.8,70,6,2018,red,Nero d'Avola
7319,Australia,Barossa Valley,Peter Lehmann,3.5,70,7,2018,red,Cabernet Sauvignon
7320,France,Blaye - Côtes de Bordeaux,Château Gigault,4.1,70,30,2005,red,blend
7321,Italy,Langhe,G.D. Vajra,3.7,70,20,2012,red,blend
7322,Italy,Südtirol - Alto Adige,Heinrich Mayr (Nusserhof),4.0,70,28,2013,red,Lagrein
7323,France,Saint-Émilion Grand Cru,Château La Croix Chantecaille,3.7,70,23,2016,red,blend
7324,France,Margaux,Château Rauzan-Ségla,4.2,70,60,2015,red,blend
7325,Italy,Puglia,Maestro Italiano,3.7,70,5,2017,red,Sangiovese
7326,South Africa,Coastal Region,Glen Carlou,3.7,70,8,2018,red,Cabernet Sauvignon
7327,Italy,Toscana,Terre del Marchesato,4.2,70,58,2015,red,blend
7328,France,Côtes-du-Rhône,Anne-Sophie Pic et Michel Chapoutier,3.8,70,9,2017,red,blend
7329,Italy,Barbera d'Alba,BelColle,3.5,70,9,2017,red,Barbera
7330,France,Châteauneuf-du-Pape,Château La Nerthe,4.5,70,68,2016,red,blend
7331,Italy,Bolgheri Superiore,Ornellaia,4.6,70,192,2017,red,blend
7332,Italy,Chianti Classico,Fèlsina,4.3,70,101,2013,red,blend
7333,France,Saint-Joseph,Château de Saint Cosme,3.8,70,22,2014,red,blend
7334,France,Hermitage,Tardieu-Laurent,4.3,70,100,2005,red,blend
7335,Italy,Südtirol - Alto Adige,Wilhelm Walch,4.1,70,10,2019,red,Lagrein
7336,Italy,Südtirol - Alto Adige,St. Michael-Eppan,3.8,70,27,2017,red,blend
7337,France,Corbières,Château de Caraguilhes,3.5,70,11,2019,red,blend
7338,South Africa,Stellenbosch,Neethlingshof Estate,3.7,70,11,2016,red,Shiraz
7339,Austria,Thermenregion,Johanneshof Reinisch,4.0,70,37,2015,red,Pinot Noir
7340,Germany,Franken,Rudolf Fürst,3.7,70,19,2016,red,blend
7341,Austria,Mittelburgenland,Gesellmann,3.4,70,12,2017,red,Blaufränkisch
7342,Austria,Burgenland,Moric,3.6,70,13,2017,red,blend
7343,Italy,Cannonau di Sardegna,Vernaccia Oristano,4.0,70,10,2016,red,blend
7344,Germany,Baden,Salwey,3.6,70,12,2015,red,blend
7345,Italy,Barbera d'Alba,Monti,4.2,70,24,2007,red,Barbera
7346,France,Côtes du Roussillon Villages,Singla,4.0,70,24,2015,red,blend
7347,Austria,Burgenland,Esterházy,2.8,70,11,2017,red,blend
7348,Italy,Rosso di Montepulciano,La Braccesca,3.5,70,10,2018,red,blend
7349,Italy,Primitivo di Manduria,Felline,3.8,70,13,2017,red,Zinfandel
7350,Italy,Sant'Antimo,Caparzo,4.0,70,20,2013,red,Cabernet Sauvignon
7351,France,Côtes-du-Rhône-Villages 'Sablet',Château du Trignon,3.8,70,11,2010,red,blend
7352,France,Malepère,La Louvière,3.6,70,11,2017,red,blend
7353,South Africa,Stellenbosch,Morgenster Estate,3.8,70,35,2011,red,Italia
7354,Italy,Salento,Varvaglione,3.8,700,7,2016,red,Negroamaro
7355,France,Crozes-Hermitage,Paul Jaboulet Aîné,3.9,700,30,2012,red,blend
7356,Portugal,Borba,Quinta do Zambujeiro,4.1,700,21,2013,red,blend
7357,Spain,Pla de Bages,Abadal,3.6,701,7,2016,red,blend
7358,Other Countries,Other Region,Other Winery,4.2,701,48,1997,red,blend
7359,Other Countries,Other Region,Other Winery,3.6,701,17,2016,red,Tempranillo
7360,France,Saint-Julien,Château Léoville Las Cases,4.6,702,336,2005,red,blend
7361,United States,California,Beringer,3.6,702,12,2017,red,Merlot
7362,Italy,Amarone della Valpolicella,Palazzo Maffei,4.1,702,26,2015,red,blend
7363,Chile,Colchagua Valley,Montes Alpha,4.1,702,14,2018,red,blend
7364,Spain,Rioja,Franco-Espanolas,3.6,702,7,2016,red,blend
7365,Spain,Rioja,Bodegas Faustino,4.0,703,16,2009,red,blend
7366,Spain,Penedès,Jean Leon,3.8,703,13,2017,red,Merlot
7367,Chile,Colchagua Valley,Los Vascos,3.8,703,16,2015,red,blend
7368,United States,California,Apothic,3.7,704,8,2017,red,blend
7369,Italy,Valtellina Superiore,Nino Negri,3.8,704,18,2015,red,blend
7370,Portugal,Douro,Niepoort,4.3,705,56,2013,red,blend
7371,Argentina,Mendoza,Kaiken,4.4,706,61,2016,red,Malbec
7372,United States,Russian River Valley,DeLoach,4.1,706,36,2015,red,Pinot Noir
7373,United States,California,Fetzer,3.6,707,9,2017,red,Cabernet Sauvignon
7374,Portugal,Alenquer,Quinta das Setencostas,3.9,707,7,2016,red,blend
7375,Chile,Central Valley,Anderra,3.4,708,7,2017,red,blend
7376,France,Bordeaux,Château Bel-Air,3.5,709,8,2016,red,blend
7377,Italy,Primitivo di Manduria,Vigneti del Salento,4.4,709,40,2015,red,Primitivo
7378,Chile,Puente Alto,Almaviva,4.5,709,46,2016,red,blend
7379,Chile,Central Valley,Antares,3.3,709,5,2018,red,Cabernet Sauvignon
7380,France,Costières-de-Nîmes,Clos des Boutes,3.4,71,9,2018,red,blend
7381,France,Hermitage,Cave de Tain,4.3,71,87,2009,red,blend
7382,France,Bordeaux,Château Belle-Vue,3.7,71,29,2016,red,Petit Verdot
7383,Germany,Pfalz,Schneider,4.1,71,30,2015,red,blend
7384,France,Saint-Émilion Grand Cru,Vignobles Moreau,4.1,71,36,2014,red,blend
7385,Italy,Calabria,Tenuta Iuzzolini,4.1,71,12,2017,red,blend
7386,South Africa,Breede River Valley,Bergsig Estate,3.6,71,10,2014,red,Cabernet Sauvignon
7387,Spain,Ribera del Duero,Urban,3.8,71,15,2015,red,blend
7388,Italy,Barolo,Brovia,4.2,71,61,2011,red,blend
7389,France,Volnay 1er Cru 'Carelle sous la Chapelle',Domaine François Buffet,3.8,71,58,2011,red,blend
7390,Italy,Langhe,Elio Filippino,4.0,71,10,2016,red,Nebbiolo
7391,France,Sancerre,Domaine Salmon,3.4,71,14,2014,red,blend
7392,Italy,Barolo,Vietti,4.4,71,174,2015,red,blend
7393,South Africa,Franschhoek,Holden Manz,4.5,71,59,2016,red,Cabernet Franc
7394,Italy,Südtirol - Alto Adige,Nals Margreid,3.9,71,11,2018,red,Lagrein
7395,France,Saint-Julien,Château Gruaud Larose,3.9,71,87,2017,red,blend
7396,Italy,Primitivo di Manduria,Cantolio,4.2,71,28,2016,red,Primitivo
7397,Italy,Barbera d'Asti,Pico Maccario,3.8,71,17,2017,red,Barbera
7398,Chile,Aconcagua Valley,Errazuriz,3.8,71,38,2016,red,blend
7399,Italy,Sicilia,Cusumano,3.7,71,7,2017,red,Nero d'Avola
7400,Chile,Maipo Valley,Antiyal,4.4,71,47,2015,red,blend
7401,France,Bordeaux Supérieur,Château Penin,3.6,71,9,2016,red,blend
7402,France,Sainte-Foy-Bordeaux,Château Carbonneau,3.7,71,9,2016,red,blend
7403,France,Pauillac,Château Grand-Puy-Lacoste,3.7,71,34,2016,red,blend
7404,France,Nuits-Saint-Georges,Domaine des Perdrix,4.2,71,65,2016,red,blend
7405,Spain,Campo de la Guardia,Martúe,3.9,71,22,2009,red,Syrah
7406,Italy,Chianti Classico,Cacchiano,4.1,71,30,2009,red,blend
7407,France,Gigondas,Château de Saint Cosme,4.3,71,72,2014,red,blend
7408,Italy,Cirò,Scala,3.6,71,10,2012,red,blend
7409,Spain,Catalunya,Can Grau Vell,3.8,71,16,2016,red,blend
7410,Italy,Friuli-Venezia Giulia,Attems,3.6,71,11,2016,red,Merlot
7411,Italy,Barbaresco,Marco Bonfante,3.6,71,23,2014,red,blend
7412,Italy,Trentino-Alto Adige,Peter Sölva,3.8,71,14,2014,red,blend
7413,Spain,Rioja,Vivanco,3.8,71,41,2016,red,blend
7414,Spain,Valdepeñas,Viña Albali,3.3,71,7,2014,red,blend
7415,Austria,Thermenregion,Schlumberger,3.6,71,18,2015,red,Merlot
7416,Italy,Sant'Antimo,Col d'Orcia,4.0,71,38,2014,red,blend
7417,Italy,Brunello di Montalcino,Ruffino,4.2,710,51,2013,red,Brunello
7418,Argentina,Mendoza,Trivento,3.4,710,9,2018,red,Cabernet Sauvignon
7419,Portugal,Alentejano,Cortes de Cima,4.3,712,31,2013,red,blend
7420,France,Saint-Estèphe,Château Montrose,4.5,712,369,2009,red,blend
7421,Spain,Ribera del Duero,Aalto,4.4,712,34,2017,red,blend
7422,France,Pays d'Oc,Les Jamelles,3.8,713,5,2018,red,Syrah
7423,Italy,Biferno,Di Majo Norante,3.7,713,12,2013,red,blend
7424,South Africa,Stellenbosch,De Toren,4.2,713,33,2014,red,blend
7425,Italy,Barbera d'Alba,Fontanafredda,3.5,714,11,2016,red,Barbera
7426,South Africa,Franschhoek,Boekenhoutskloof,4.3,714,61,2015,red,Cabernet Sauvignon
7427,France,Cahors,Château Combel La Serre,3.7,715,18,2017,red,blend
7428,Spain,Rioja,Montecillo,3.6,715,8,2016,red,blend
7429,Italy,Südtirol - Alto Adige,Franz Haas,3.9,716,24,2017,red,blend
7430,Italy,Terre Siciliane,Barone Montalto,3.6,717,5,2018,red,Nero d'Avola
7431,France,Châteauneuf-du-Pape,Château Mont-Redon,4.1,718,35,2014,red,blend
7432,Portugal,Alentejano,Monte da Ravasqueira,3.9,718,21,2015,red,blend
7433,Italy,Amarone della Valpolicella Classico,Cesari,4.1,718,28,2015,red,blend
7434,France,Bandol,La Bastide Blanche,3.7,719,22,2015,red,blend
7435,South Africa,Swartland,Badenhorst,3.7,719,10,2015,red,blend
7436,Argentina,Mendoza,Bodega Piedra Negra,3.8,719,14,2017,red,Malbec
7437,Italy,Barbera d'Asti,Michele Chiarlo,3.9,719,16,2016,red,blend
7438,France,Bordeaux Supérieur,Château Croix Mouton,3.5,719,23,2010,red,blend
7439,France,Pomerol,Château Plince,4.0,72,49,2016,red,blend
7440,France,Gigondas,Château de Saint Cosme,3.9,72,39,2009,red,blend
7441,Germany,Pfalz,Hensel,3.9,72,16,2016,red,blend
7442,France,Grès de Montpellier,Château de l'Engarran,3.7,72,13,2016,red,blend
7443,Austria,Burgenland,Heinrich,4.3,72,82,2015,red,blend
7444,Spain,Ribera del Queiles,Guelbenzu,3.9,72,7,2016,red,blend
7445,France,Nuits-Saint-Georges,Domaine Robert Chevillon,4.1,72,87,2013,red,blend
7446,Germany,Baden,Weingut Holger Koch,3.6,72,14,2015,red,Pinot Noir
7447,Spain,Terra Alta,Ramón Roqueta,3.9,72,15,2018,red,blend
7448,Australia,McLaren Vale,d'Arenberg,3.7,72,15,2017,red,Shiraz
7449,South Africa,Paarl,Backsberg,3.7,72,12,2018,red,Merlot
7450,Italy,Südtirol - Alto Adige,Alois Lageder,3.8,72,27,2014,red,blend
7451,Italy,Brunello di Montalcino,Cantine Luciani,3.9,72,17,2014,red,Brunello
7452,Italy,Cannonau di Sardegna,Tenuta l'Ariosa,3.6,72,14,2015,red,blend
7453,Spain,Valencia,Vermador,3.5,72,6,2017,red,Syrah
7454,Spain,Rioja,Torre de Oña,3.8,72,10,2017,red,blend
7455,Italy,Langhe,Domenico Clerico,3.9,72,27,2012,red,blend
7456,Argentina,Tupungato,Andeluna,3.4,72,10,2018,red,Merlot
7457,Italy,Veneto,Lenotti,3.9,72,6,2018,red,blend
7458,Spain,Rioja,Barbarot,3.8,72,18,2015,red,blend
7459,Italy,Terre Siciliane,Vanitá,3.3,72,7,2019,red,Nero d'Avola
7460,Argentina,Mendoza,Dante Robino,3.1,72,8,2018,red,Cabernet Sauvignon
7461,South Africa,Franschhoek,Holden Manz,3.8,72,14,2014,red,blend
7462,Italy,Barolo,Domenico Clerico,4.2,72,97,2011,red,blend
7463,Italy,Montefalco Sagrantino,Arnaldo-Caprai,4.2,72,56,2014,red,Sagrantino
7464,Italy,Chianti Classico,Zonin,3.7,72,9,2016,red,blend
7465,Italy,Brunello di Montalcino,Gaja,4.5,72,60,2015,red,Brunello
7466,France,Saint-Émilion Grand Cru,Château Ausone,4.5,72,1600,2010,red,blend
7467,Italy,Barbaresco,Negro Angelo,4.1,72,30,2016,red,blend
7468,Italy,Puglia,Masseria Altemura,3.8,720,11,2016,red,blend
7469,Italy,delle Venezie,Masi,3.7,720,20,2010,red,blend
7470,Italy,Puglia,Epicuro,3.7,720,11,2018,red,Zinfandel
7471,Other Countries,Other Region,Other Winery,3.3,720,15,2012,red,Pinot Noir
7472,Argentina,Tupungato,Domaine Bousquet,3.9,720,11,2018,red,Malbec
7473,Spain,Rioja,Sierra Cantabria,3.7,721,11,2016,red,blend
7474,Spain,Ribera del Duero,Protos,4.1,721,17,2016,red,blend
7475,Other Countries,Other Region,Other Winery,3.2,722,12,2011,red,Merlot
